imdbID,Title,Type,Year,Released,Runtime (min),Genre,Director,Writer,Actors,Plot,Language,Country,imdbVotes,imdbRating
tt0039101,Whistle Stop,movie,1946,25-Jan-46,85,"Crime, Drama, Film-Noir",Léonide Moguy,"Maritta M. Wolff, Philip Yordan","George Raft, Ava Gardner, Victor McLaglen","When beautiful Mary returns home to her ""whistle stop"" home town, long-standing feelings of animosity between two of her old boyfriends leads to robbery and murder.",English,United States,"1,351",5.5
tt0039351,Marriage in the Shadows,movie,1947,11-Jun-48,105,Drama,Kurt Maetzig,"Hans Schweikart, Kurt Maetzig","Paul Klinger, Ilse Steppat, Alfred Balthoff","Set during the rise of the Nazi regime, Marriage in the Shadows is modeled after the tragic true story of Meta and Joachim Gottschalk. In the film, Elisabeth Maurer and Hans Wieland enjoy successful careers as actors in Berlin; Elisa",German,Germany,189,7.2
tt0039814,La serpiente de cascabel,movie,1948,17-Mar-48,73,Comedy,Carlos Schlieper,"Edoardo Anton, Ariel Cortazzo","María Duval, Juan Carlos Thorry, Milagros de la Vega","A police inspector who must solve the mystery of the death of the warden of a ladies' institute, for which he pretends to be a music teacher. The main suspect is the naughty schoolgirl María Duval.",Spanish,Argentina,27,7.3
tt0040431,Here Come the Huggetts,movie,1948,23-Dec-50,93,"Comedy, Drama",Ken Annakin,"Mabel Constanduros, Denis Constanduros, Peter Rogers","Jack Warner, Kathleen Harrison, Jane Hylton","The return of the Huggett family. After first meeting the family at the Holiday Camp, this is on the home front. The Huggetts are about to have their first telephone installed. In today's high technology age, it is an interesting ...",English,United Kingdom,346,6.2
tt0040877,The Three Weird Sisters,movie,1948,12-Jul-48,82,"Crime, Drama",Daniel Birt,"Charlotte Armstrong, Louise Birt, David Evans","Nancy Price, Mary Clare, Mary Merrall",A secretary suspects that her employer's three elderly sisters are plotting to kill him after he announces he'll no longer finance their philanthropic endeavors.,English,United Kingdom,183,6.4
tt0040971,Winter Meeting,movie,1948,07-Apr-48,104,"Drama, Romance",Bretaigne Windust,"Grace Zaring Stone, Catherine Turney","Bette Davis, Janis Paige, Jim Davis",Bette Davis is a successful poetess who falls in love with a war hero in this romantic melodrama that is a moving film experience any time of year.,English,United States,"1,529",6.2
tt0041306,Donald's Happy Birthday,movie,1949,11-Feb-49,7,"Family, Animation, Short",Jack Hannah,"Nick George, Bill Berg, Ted Osborne",Clarence Nash,A birthday present of cigars goes awry when Donald thinks his nephews are planning to take up smoking.,English,United States,688,7.1
tt0041327,"East Side, West Side",movie,1949,21-Jul-50,108,"Drama, Romance",Mervyn LeRoy,"Isobel Lennart, Marcia Davenport","Barbara Stanwyck, James Mason, Van Heflin","A vain businessman puts a strain on happy marriage to a rich, beautiful socialite by allowing himself to be seduced by a former girlfriend.","English, Italian, French",United States,"2,514",6.9
tt0042685,Lonely Heart Bandits,movie,1950,29-Aug-50,60,"Drama, Film-Noir",George Blair,Gene Lewis,"Dorothy Patrick, John Eldredge, Barbra Fuller","Two con artists join forces and pose as brother and sister. He then meets rich widows through the ""personals"" sections of newspapers, marries them, and both kill the widows for their money.",English,United States,53,6.3
tt0042897,Rocketship X-M,movie,1950,02-Jun-50,77,"Family, Sci-Fi",Kurt Neumann,"Orville H. Hampton, Kurt Neumann, Dalton Trumbo","Lloyd Bridges, Osa Massen, John Emery",An astronaut crew on their way to the Moon are unexpectedly propelled by gravitational forces and end up on Mars instead.,English,United States,"2,528",4.9
tt0043365,Bunny Hugged,movie,1951,10-Mar-51,7,"Animation, Short, Comedy",Chuck Jones,Michael Maltese,"Mel Blanc, John T. Smith",This adventure takes Bugs into the world of professional wrestling.,English,United States,"1,282",7.6
tt0044327,Actors and Sin,movie,1952,18-Jul-52,82,"Comedy, Drama","Ben Hecht, Lee Garmes",Ben Hecht,"Edward G. Robinson, Eddie Albert, Marsha Hunt","Two-part story--the first is about a washed-up Broadway actor and his tough daughter, who is a bigger star than he is; the second is about a literary agent whose newest client--a nine-year-old girl--is the author of a borderline p...",English,United States,196,5.3
tt0044478,Captive of Billy the Kid,movie,1952,21-Jan-52,54,"Drama, Western",Fred C. Brannon,"M. Coates Webster, Richard Wormser","Allan Lane, Black Jack, Penny Edwards","Five people have a part of a map leading to Billy the Kid's treasure. When one of them is killed, Rocky Lane has a plan to find the killer.",English,United States,34,5.9
tt0044654,The Gentle Gunman,movie,1952,10-Oct-53,86,"Crime, Drama, Thriller",Basil Dearden,Roger MacDougall,"John Mills, Dirk Bogarde, Robert Beatty","In 1941, in wartime U.K., two Irish brothers working for the I.R.A. come against their local leader's ruthless methods.",English,United Kingdom,493,6.4
tt0044884,Mara Maru,movie,1952,23-Apr-52,98,"Adventure, Crime, Drama",Gordon Douglas,"N. Richard Nash, Philip Yordan, Sidney Harmon","Errol Flynn, Ruth Roman, Raymond Burr",An American salvage diver plunges into dangerous intrigue around a sunken treasure in the Philippines.,English,United States,753,6
tt0045188,The Steel Fist,movie,1952,06-Jan-52,73,Drama,Wesley Barry,"Phyllis Parker, C.K. Kivari","Roddy McDowall, Kristine Miller, Harry Lauter",In an Iron Curtain country an idealistic student goes on the run from the Communist authorities.,English,United States,133,5.3
